"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","31Z0PCVWUKGH0Y7TKPGVICZROEF7TV","A791P32K1NPMU","Submitted","Sat Dec 22 16:29:17 PST 2018","Sat Dec 22 16:51:27 PST 2018","Tue Dec 25 16:51:27 PST 2018","","","","1330","0% (0/0)","0% (0/0)","0% (0/0)","5c1ed6fb32cbd_1P32K1NPMUA79_a0b387aaedfe1"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","32AT8R96GLAIJ96A8X4GIZHPU60USX","A3P57IUDHUKNCE","Submitted","Sat Dec 22 16:48:36 PST 2018","Sat Dec 22 16:54:00 PST 2018","Tue Dec 25 16:54:00 PST 2018","","","","324","100% (1/1)","100% (1/1)","0% (0/0)","5c1edb6896da1_57IUDHUKNCEA3P_a42934cfa7162"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","32SCWG5HIH50460HKY2J7OYY40AP69","A1FYWSPNO7KN1O","Submitted","Sat Dec 22 16:28:57 PST 2018","Sat Dec 22 16:38:07 PST 2018","Tue Dec 25 16:38:07 PST 2018","","","","550","100% (5/5)","100% (5/5)","100% (2/2)","5c1ed7061d24c_YWSPNO7KN1OA1F_1fbf6e5be71f7"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","32UTUBMZ7GXJF2E821SQOW984PMVBL","A3KC385CZNYEG5","Submitted","Sat Dec 22 16:34:22 PST 2018","Sat Dec 22 17:09:03 PST 2018","Tue Dec 25 17:09:03 PST 2018","","","","2081","100% (1/1)","100% (1/1)","0% (0/0)","5c1edf12081ee_C385CZNYEG5A3K_dd2370fd8464d"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","33M4IA01QG2YZY0SYDFYCWBX2MXRXX","A26NGLGGFTATVN","Submitted","Sat Dec 22 16:29:04 PST 2018","Sat Dec 22 17:35:37 PST 2018","Tue Dec 25 17:35:37 PST 2018","","","","3993","100% (8/8)","100% (6/6)","100% (3/3)","5c1ee597d0175_NGLGGFTATVNA26_88ec7a8d45911"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","34BBWHLWHAC6HZSJYLP3WLWZ6O8IWR","AOOXBFJFCH68X","Submitted","Sat Dec 22 16:32:27 PST 2018","Sat Dec 22 16:36:26 PST 2018","Tue Dec 25 16:36:26 PST 2018","","","","239","0% (0/0)","0% (0/0)","0% (0/0)","5c1ed7a8622db_XBFJFCH68XAOO_f235d6c2014f2"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","351SEKWQS0IT4CIJ25I5WQEVGHMDMT","AKK6H2YXK4RF6","Submitted","Sat Dec 22 16:33:04 PST 2018","Sat Dec 22 16:37:53 PST 2018","Tue Dec 25 16:37:53 PST 2018","","","","289","0% (0/0)","0% (0/0)","0% (0/0)","5c1ed7c45893d_6H2YXK4RF6AKK_bacce7a928d91"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","36U2A8VAG101CZD7DPS3UYWS90XKY3","A272X64FOZFYLB","Submitted","Sat Dec 22 16:32:02 PST 2018","Sat Dec 22 16:39:16 PST 2018","Tue Dec 25 16:39:16 PST 2018","","","","434","100% (5/5)","100% (5/5)","100% (2/2)","5c1ed828880ad_2X64FOZFYLBA27_f831b6bae811b"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","37C0GNLMHF4RF9XRFPBO7UH9QH86DD","AB9EVC5RVEY2G","Submitted","Sat Dec 22 16:38:55 PST 2018","Sat Dec 22 16:46:10 PST 2018","Tue Dec 25 16:46:10 PST 2018","","","","435","0% (0/0)","0% (0/0)","0% (0/0)","5c1ed923504ea_EVC5RVEY2GAB9_922332d034508"
"302OLP89DZ8FAZ6MF4SOEA5OODZCAJ","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Sat Dec 22 16:28:49 PST 2018","50","BatchId:3482922;OriginalHitTemplateId:920937340;","7200","259200","Tue Dec 25 16:28:49 PST 2018","","","39JEC7537U22P76EG1OLZGFQMANVCT","AHTWQSOY6HTJI","Submitted","Sat Dec 22 16:51:44 PST 2018","Sat Dec 22 16:52:03 PST 2018","Tue Dec 25 16:52:03 PST 2018","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","5c1ed9174a425_WQSOY6HTJIAHT_42a02f18f7536"
